id,Section_id,ground_truth,prediction
006c9dd6-c568-4497-81b7-c954568a3b4a,Intervention,0,0.0
00831e0c-eaad-4fe9-a791-f105815fa215,Eligibility,0,0.0
017ff04d-5509-4f54-863c-10201351e15d,Results,0,0.0
04178e95-d808-4a96-ab85-61eb52c17720,Results,0,0.0
05530068-7a95-46f6-88d2-84e53ee2ff35,Adverse Events,1,1.0
0585f6bd-d582-4fc9-b96b-1355fa083e33,Intervention,0,0.0
06a1adac-dee0-4d9b-83c6-0996391e40d0,Results,1,1.0
06b8d395-0fe7-4206-b118-5e478779cce0,Adverse Events,0,0.0
070ba2da-932a-4a62-861e-3f2c89630b4d,Adverse Events,0,0.0
094e7aec-88db-4ad0-b995-ece8587fd48b,Intervention,0,0.0
0967b501-90dd-4ba4-bebc-8db1e9695431,Eligibility,1,1.0
09879638-e324-4f5d-a45e-f62f7e06f301,Eligibility,0,0.0
0a1cb41e-a5f8-42ca-bec7-f9bc1291037c,Intervention,0,0.0
0a266c52-2a4e-4aed-a04c-85c148f2cd41,Results,0,1.0
0bb34f7b-d21a-4057-876a-25c722e6d50e,Results,0,0.0
0c03c804-4144-4d84-b740-8f6040f15acc,Eligibility,1,0.0
0c27bcc9-3108-4d4a-901a-22718c22d288,Results,0,0.0
0c73bdd4-7244-433c-8b5e-bf335f21701c,Adverse Events,0,0.0
0d7d2408-c51f-4b3a-a47f-6f0ee8dedacc,Results,1,1.0
0f31bc6a-a228-49c2-afff-4177ef850272,Results,0,0.0
10292ba1-dd1f-4191-b534-331f39583181,Eligibility,1,1.0
102bbdcd-14ea-4dd5-a0bb-4cea343bb6ed,Adverse Events,1,1.0
113abff0-a728-40a6-b637-8bd60a53e626,Intervention,1,1.0
11cb71ed-1304-42f0-b416-3679c3e9e1b3,Intervention,0,0.0
135763e3-70fd-478d-991c-717d6ed55bb3,Intervention,1,1.0
137bb76f-a37e-4339-af7e-f0c647a01baa,Results,1,1.0
152fc619-bbb0-40ff-aa3e-5722f62f6a84,Intervention,0,0.0
15577bb6-3b4d-4373-ae58-eb0bf0c34954,Eligibility,1,1.0
15d7d028-69c2-4e01-b85c-cff568f34cc1,Eligibility,0,0.0
17413685-69fd-453f-af49-29982a6c95b6,Intervention,0,0.0
17660aaf-9218-4119-b00c-f3b863718e97,Intervention,0,0.0
18c281a1-43bd-47f5-9534-feddfcf0a282,Intervention,0,0.0
18d3b58f-42ca-4178-adb6-4a5f0c9fafde,Results,1,1.0
1943100e-196d-4022-a38a-9ae0dd816294,Intervention,0,0.0
19e0531d-7907-46b0-ab0c-e616746498e9,Intervention,1,1.0
1a76bce8-07e2-4b30-adc8-3c095f0d62b3,Intervention,1,1.0
1af4d0ac-d0f2-402a-8bdb-0e10c0823b0f,Adverse Events,0,0.0
1bd849aa-409c-4214-a930-4d187a645466,Intervention,0,0.0
1bf99d45-84a7-41cb-8263-d1ccb489bc66,Adverse Events,1,1.0
1cb125fb-0be1-49c6-b68b-64b525278c9c,Adverse Events,1,1.0
1cda1a1d-3ca1-4838-9054-bcab763bb5d0,Adverse Events,0,0.0
1cdbbd44-21df-4279-9e3c-ff501f1361ec,Results,1,1.0
1d66459b-4624-4ea0-9cda-992c4146a454,Eligibility,1,1.0
1e24905e-7bf9-4a79-8157-8948f108ecb7,Intervention,1,0.0
1fe68175-6ac4-4439-818f-94758e6bd306,Results,0,0.0
20493bc1-bda8-4255-a1d4-40cb499bd845,Adverse Events,1,1.0
204d5293-d6e5-452a-8961-3b76d6be35c9,Results,1,1.0
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,Eligibility,1,1.0
20c98ba5-ca61-4afe-af57-6de08705a5cd,Results,1,1.0
217b0362-9dd0-4f10-8ca5-c097688bb738,Adverse Events,0,0.0
21a5f296-5b3c-4860-be64-77ffb8f76501,Results,1,1.0
21afdaec-2db5-42b3-b201-b2dee4e23cb7,Intervention,0,0.0
21c021d2-764d-4028-b945-2aeb525b9888,Results,0,0.0
22384b11-eb42-42da-86b3-dfed559ebb77,Results,1,1.0
228308ea-2483-4311-a975-ca974ff797c6,Adverse Events,0,0.0
2312576f-7c8d-4fcd-80e8-42cf3d81dd04,Intervention,0,0.0
23f84ae0-fd01-4799-8872-118e22a015e8,Adverse Events,0,0.0
24e7fb4c-e279-4b61-8c7f-6dc6a09e8d55,Eligibility,0,0.0
251e979f-a7ba-4dea-afb7-01b9501ec7cf,Results,0,0.0
