id,evidence,prediction,label
9f978634-637c-472f-a588-6f4bb2fb121f,Inclusion Criteria:,1,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Women are eligible to participate if they are 40 years or older and have been menopausal (had no menstrual bleeding during the past 12 months),1,0
9f978634-637c-472f-a588-6f4bb2fb121f,Exclusion Criteria:,1,1
9f978634-637c-472f-a588-6f4bb2fb121f,"  History of bilateral mastectomy, osteoporosis or renal impairment.",1,1
9f978634-637c-472f-a588-6f4bb2fb121f,Inclusion Criteria:,1,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Women with a clinically or mammographically identified suspicious breast mass that is likely to be biopsied or surgically removed.,1,0
9f978634-637c-472f-a588-6f4bb2fb121f,Exclusion Criteria:,1,1
9f978634-637c-472f-a588-6f4bb2fb121f,  Pregnancy,1,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Ferromagnetic implants,0,0
9f978634-637c-472f-a588-6f4bb2fb121f,  History of shotgun wounds and shrapnel,0,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Obesity (>250 pounds),1,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Cardiac pacemaker,0,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Incompatible implanted medical device,1,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Severe claustrophobia,1,1
9f978634-637c-472f-a588-6f4bb2fb121f,  Major surgeries with potential of ferromagnetic implants,1,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Severe asthma and allergies,1,0
9f978634-637c-472f-a588-6f4bb2fb121f,"  i-STAT system, a handheld blood analyzer (I-STAT) creatinine test, estimated glomerular filtration rate (GFR) <30",1,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Metallic object (greater than 2 cm in length) in the breast,0,0
9f978634-637c-472f-a588-6f4bb2fb121f,  Metallic ink tatoo within 20 cm of the breast (approximately 8 inches),0,0
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,Inclusion Criteria:,1,1
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,  Women 18 years,0,1
20b34e62-97c2-4ca0-bb1d-7824dab0b8bb,  Histologically or cytologically confirmed diagnosis of metastatic breast cancer,1,1
